Growth Accounting in OECD Countries: 1990-2019 period
|    | Country        | Start_Year   | End_Year   |   Growth_Rate |   TFP_Growth |   Capital_Deepening |   TFP_Share |   Capital_Share |
|---:|:---------------|:-------------|:-----------|--------------:|-------------:|--------------------:|------------:|----------------:|
|  0 | Australia      | 1990         | 2014       |          1.63 |         0.92 |                0.72 |        0.56 |            0.44 |
|  1 | Austria        | 1990         | 2014       |          1.46 |         0.66 |                0.8  |        0.45 |            0.55 |
|  2 | Belgium        | 1990         | 2014       |          0.93 |         0.29 |                0.64 |        0.31 |            0.69 |
|  3 | Canada         | 1990         | 2014       |          1.17 |         0.47 |                0.7  |        0.4  |            0.6  |
|  4 | Denmark        | 1990         | 2014       |          1.26 |         0.63 |                0.63 |        0.5  |            0.5  |
|  5 | Finland        | 1990         | 2014       |          1.74 |         0.94 |                0.8  |        0.54 |            0.46 |
|  6 | France         | 1990         | 2014       |          1.43 |         0.62 |                0.82 |        0.43 |            0.57 |
|  7 | Germany        | 1990         | 2014       |          1.72 |         0.92 |                0.8  |        0.54 |            0.46 |
|  8 | Greece         | 1990         | 2014       |          1.13 |         0.14 |                0.99 |        0.12 |            0.88 |
|  9 | Iceland        | 1990         | 2014       |          1.65 |         1.26 |                0.39 |        0.76 |            0.24 |
| 10 | Ireland        | 1990         | 2014       |          3.48 |         1.74 |                1.73 |        0.5  |            0.5  |
| 11 | Italy          | 1990         | 2014       |          0.78 |        -0.12 |                0.91 |       -0.16 |            1.16 |
| 12 | Japan          | 1990         | 2014       |          1.5  |        -0.06 |                1.57 |       -0.04 |            1.04 |
| 13 | Netherlands    | 1990         | 2014       |          1.05 |         0.59 |                0.46 |        0.56 |            0.44 |
| 14 | New Zealand    | 1990         | 2014       |          0.9  |         0.5  |                0.4  |        0.56 |            0.44 |
| 15 | Norway         | 1990         | 2014       |          1.45 |         0.72 |                0.72 |        0.5  |            0.5  |
| 16 | Portugal       | 1990         | 2014       |          1.74 |         0.54 |                1.21 |        0.31 |            0.69 |
| 17 | Spain          | 1990         | 2014       |          1.08 |         0.08 |                1.01 |        0.07 |            0.93 |
| 18 | Sweden         | 1990         | 2014       |          1.73 |         1.23 |                0.5  |        0.71 |            0.29 |
| 19 | Switzerland    | 1990         | 2014       |          0.78 |         0.29 |                0.49 |        0.37 |            0.63 |
| 20 | United Kingdom | 1990         | 2014       |          1.58 |         1.11 |                0.47 |        0.7  |            0.3  |
| 21 | United States  | 1990         | 2014       |          1.71 |         1.08 |                0.63 |        0.63 |            0.37 |
| 22 | Average        |              |            |          1.45 |         0.66 |                0.79 |        0.42 |            0.58 |
